codigo,capitulo_codigo,descripcion,unidad,valor_unitario,orden
1.73,1,Demolición manual de caja de inspección 100x100x100 cm,Un,50965.0,73
1.74,1,Demolición manual de calados,m2,11004.0,74
1.75,1,Demolición manual de columna de amarre en concreto,m,9543.0,75
1.76,1,Demolición manual de concreto,m3,901146.0,76
1.77,1,Demolición manual de concreto ciclópeo,m3,450573.0,77
1.78,1,Demolición manual de cilindro Manhole,m3,431582.0,78
1.79,1,Demolición manual de cono Manhole,Un,259080.0,79
1.80,1,Demolición manual de cuneta en concreto,m,20386.0,80
1.81,1,Demolición manual de dintel en concreto,m,6990.0,81
1.82,1,Demolición manual de enchape o pañete (revoque),m2,15783.0,82
1.83,1,Demolición manual de guardaescobas,m,4352.0,83
1.84,1,Demolición manual de lavadero existente,Un,55212.0,84
1.85,1,Demolición manual de mesón en concreto,m2,32145.0,85
1.86,1,Demolición manual de mortero de nivelación,m2,8801.0,86
1.87,1,Demolición manual de muro e= 0.10-0.15 m,m2,13409.0,87
1.88,1,Demolición manual de muro e= 0.10-0.15 m mamp. estruc.,m2,20113.0,88
1.89,1,Demolición manual de muro e= 0.20-0.25 m,m2,18289.0,89
1.90,1,Demolición manual de muro en bahareque,m2,21399.0,90
1.91,1,Demolición manual de muro en tapia,m3,177880.0,91
1.92,1,Demolición manual de piso en baldosa,m2,17162.0,92
1.93,1,Demolición manual de piso en cerámica,m2,17162.0,93
1.94,1,Demolición manual de piso en grano pulido,m2,8801.0,94
1.95,1,Demolición manual de pozo de inspección (Manhole),m3,431582.0,95
1.96,1,Demolición manual de placa/ losa sobre terreno,m2,10204.0,96
1.97,1,Demolición manual de recubrimiento de concreto,m2,55498.0,97
1.98,1,Demolición manual de sardinel en concreto,m,8136.0,98
1.99,1,Demolición manual de sillar en concreto,m,6990.0,99
1.100,1,Demolición manual de sumidero en concreto,m2,184752.0,100
1.101,1,Demolición manual de viga canal en concreto,m,31869.0,101
1.102,1,Demolición manual de viga de amarre en concreto,m,9543.0,102
1.103,1,Demolición manual de viga en concreto,m3,277434.0,103
1.104,1,Demolición manual de vivienda (incl. retiro),m2,94039.0,104
1.105,1,Demolición manual de zócalo o media caña,m,4352.0,105
1.106,1,Demolición manual orinal/ lavamanos corrido concreto,m,26106.0,106
1.107,1,Desarme de gaviones y recuperación de piedra,m3,26516.0,107
1.108,1,Descapote a máquina hasta 30 cm (incl. retiro),m2,7600.0,108
1.109,1,Descapote y limpieza manual (incl. retiro),m2,12985.0,109
1.110,1,Desconexión de acometida de la instalación de gas,Un,106630.0,110
1.111,1,Desconexión de acometida de la red contra incendios,Un,73272.0,111
1.112,1,Desconexión de acometida de la red de agua potable,Un,73272.0,112
1.113,1,Desconexión de acometida de la red de alcantarillado,Un,216546.0,113
1.114,1,Desconexión de acometida de telecomunicaciones,Un,59054.0,114
1.115,1,Desconexión de acometida de teléfono,Un,19611.0,115
1.116,1,Desconexión de acometida del sistema de alarma,Un,78665.0,116
1.117,1,Desconexión de acometida del sistema de cctv,Un,78665.0,117
1.118,1,Desconexión de acometida eléctrica,Un,314835.0,118
1.119,1,Desconexión de contador de energía,Un,21258.0,119
1.120,1,Desconexión de cortacircuitos o pararrayos,Un,106833.0,120
1.121,1,Desconexión de red primaria monofásica,m,3233.0,121
1.122,1,Desconexión de red primaria trifásica,m,4334.0,122
1.123,1,Desconexión de red secundaria 1 ó 2 hilos,m,2584.0,123
1.124,1,Desconexión de red secundaria 3 ó más hilos,m,4334.0,124
1.125,1,Desmonte de adoquín e< 10 cm,m2,5576.0,125
1.126,1,Desmonte de antena TV/ Radio FM,Un,83618.0,126
1.127,1,Desmonte de aparato sanitario,Un,36385.0,127
1.128,1,Desmonte de caballete de Eternit,m,10512.0,128
1.129,1,Desmonte de calentador de agua,Un,61064.0,129
1.130,1,Desmonte de campana extractora,Un,10350.0,130
1.131,1,Desmonte de canal en lámina ó pvc,m,6898.0,131
1.132,1,Desmonte de canaleta 43 ó 90,m2,26411.0,132
1.133,1,"Desmonte de carteleras, cuadros, extintores",Un,16300.0,133
1.134,1,Desmonte de cercha en madera,m,14055.0,134
1.135,1,Desmonte de cerramiento con postes de concreto,m,39217.0,135
1.136,1,Desmonte de cerramiento con postes de madera,m,5824.0,136
1.137,1,Desmonte de cielo raso,m2,11069.0,137
1.138,1,Desmonte de cierra puerta brazo hidráulico,Un,29242.0,138
1.139,1,Desmonte de citófono,Un,34427.0,139
1.140,1,Desmonte de closet,m2,11324.0,140
1.141,1,Desmonte de columna en madera,m,14404.0,141
1.142,1,Desmonte de columna metálica,m,19171.0,142
1.143,1,Desmonte de concertina,m,9066.0,143
1.144,1,Desmonte de correa en madera,m,9911.0,144
1.145,1,Desmonte de correa metálica,m,8218.0,145
1.146,1,Desmonte de cortina metálica,m2,7702.0,146
1.147,1,Desmonte de cubierta en acrílico-policarbonato,m2,9304.0,147
1.148,1,Desmonte de cubierta en asbesto cemento,m2,10573.0,148
1.149,1,Desmonte de cubierta en lámina,m2,8908.0,149
1.150,1,Desmonte de cubierta en teja barro,m2,23024.0,150
1.151,1,Desmonte de cubierta en teja ondulada,m2,10573.0,151
1.152,1,Desmonte de cubierta en zinc + entramado,m2,24031.0,152
1.153,1,Desmonte de defensa vial metálica,m,1149.0,153
1.154,1,Desmonte de detector de humo,Un,6301.0,154
1.155,1,Desmonte de división en madera,m2,5380.0,155
1.156,1,Desmonte de división en placa de yeso o eterboard,m2,16058.0,156
1.157,1,Desmonte de división metálica,m2,7523.0,157
1.158,1,Desmonte de división para baño,m2,7292.0,158
1.159,1,Desmonte de elementos prefabricados,m2,16159.0,159
1.160,1,Desmonte de entrepiso en madera,m2,27198.0,160
1.161,1,Desmonte de escalera en madera,m2,18564.0,161
1.162,1,Desmonte de escalera metálica,m2,26964.0,162
1.163,1,Desmonte de espejos,m2,4519.0,163
1.164,1,Desmonte de estructura en madera,m2,27515.0,164
1.165,1,Desmonte de estructura metálica,m2,21146.0,165
1.166,1,Desmonte de estructura metálica perfiles-vigas,Kg,3868.0,166
1.167,1,Desmonte de extractor de aire para baño,Un,10473.0,167
1.168,1,Desmonte de estufa/ horno de empotrar,Un,15525.0,168
1.169,1,Desmonte de fachada en lámina metálica,m2,32790.0,169
1.170,1,Desmonte de flanche en lámina,m,4543.0,170
1.171,1,Desmonte de fluxómetro,Un,46318.0,171
1.172,1,Desmonte de gárgola,Un,5854.0,172
1.173,1,Desmonte de grifería,Un,30368.0,173
1.174,1,Desmonte de hidrante,Un,32384.0,174
1.175,1,Desmonte de incrustaciones,Un,5332.0,175
1.176,1,Desmonte de kioskos y enramadas,m2,7981.0,176
1.177,1,Desmonte de lámpara fluorescente,Un,24065.0,177
1.178,1,Desmonte de lavadero,Un,30595.0,178
1.179,1,Desmonte de lavaplatos,Un,22075.0,179
1.180,1,Desmonte de letrero/ aviso luminoso,m2,23332.0,180
1.181,1,Desmonte de luminarias,Un,36094.0,181
1.182,1,Desmonte de malla eslabonada,m2,8870.0,182
1.183,1,Desmonte de manto asfáltico,m2,10781.0,183
1.184,1,Desmonte de marcos y puertas,m2,17566.0,184
1.185,1,Desmonte de mueble inferior de cocina,m,11324.0,185
1.186,1,Desmonte de mueble superior de cocina,m,11463.0,186
1.187,1,Desmonte de muro en drywall o superboard,m2,15381.0,187
1.188,1,Desmonte de pasamanos en madera,m,5225.0,188
1.189,1,Desmonte de pasamanos en vidrio,m,7721.0,189
1.190,1,Desmonte de pasamanos metálico,m,18147.0,190
1.191,1,Desmonte de piso en lámina de superboard,m2,16166.0,191
1.192,1,Desmonte de piso en madera,m2,4065.0,192
1.193,1,Desmonte de piso en vinisol,m2,11122.0,193
1.194,1,Desmonte de poste de concreto,Un,233553.0,194
1.195,1,Desmonte de poste metálico,Un,195937.0,195
1.196,1,Desmonte de puerta de garaje,m2,6482.0,196
1.197,1,Desmonte de puerta en vidrio templado,m2,36204.0,197
1.198,1,Desmonte de puesto de trabajo,Un,28327.0,198
1.199,1,Desmonte de pulsador de alarma,Un,5834.0,199
1.200,1,Desmonte de red de gas,m,6532.0,200
1.201,1,Desmonte de red interior eléctrica,m,3156.0,201
1.202,1,Desmonte de reflector,Un,77663.0,202
1.203,1,Desmonte de rejas metálicas,m2,10891.0,203
1.204,1,Desmonte de rejilla difusora de aire acondicionado,Un,21014.0,204
1.205,1,Desmonte de rociador,Un,5979.0,205
1.206,1,Desmonte de sirena de alarma,Un,17851.0,206
1.207,1,Desmonte de soporte para TV,Un,14054.0,207
1.208,1,"Desmonte de tanque de agua (250 a 1,000 L)",Un,175735.0,208
1.209,1,Desmonte de tapetes o alfombras,m2,11122.0,209
1.210,1,Desmonte de techo y estructura de madera,m2,19055.0,210
1.211,1,Desmonte de techo y estructura metálica,m2,41943.0,211
1.212,1,"Desmonte de tubería de alcantarillado Ø<= 12""",m,12465.0,212
1.213,1,"Desmonte de tubería de alcantarillado Ø<= 24""",m,34129.0,213
1.214,1,Desmonte de unidad de aire acondicionado,Un,120969.0,214
1.215,1,Desmonte de ventanas,m2,16464.0,215
1.216,1,Desmonte de ventilador,Un,14839.0,216
1.217,1,Desmonte de vidrios,m2,6215.0,217
1.218,1,Desmonte de viga en madera,m,19124.0,218
1.219,1,Desmonte de viga metálica,m,18503.0,219
1.220,1,Desmonte y limpieza a máquina (incl. retiro),m2,7600.0,220
1.221,1,Desmonte y limpieza manual (incl. retiro),m2,12985.0,221
1.222,1,"Desmonte, limpieza y retiro en bosque",Ha,4625208.0,222
1.223,1,"Desmonte, limpieza y retiro en zona no boscosa",Ha,243210.0,223
1.224,1,Escalera provisional en madera L= 3.50 m,Un,425685.0,224
1.225,1,Estantería provisional en madera h=2.00 m a= 0.90 m,m,77058.0,225
1.226,1,Grúa torre - Alquiler,Mes,12495028.0,226
1.227,1,Grúa torre - Montaje y desmontaje (sin cimentación),Un,15731130.0,227
1.228,1,Grúa torre - Tramo de empotramiento,Un,6590144.0,228
1.229,1,Grúa torre - Transporte y retirada,Un,3987363.0,229
1.230,1,Limpieza y nivelación,m2,7715.0,230
1.231,1,Levante de película decorativa para vidrio,m2,4586.0,231
1.232,1,Localización y replanteo de cancha múltiple,m2,1466.0,232
1.233,1,Localización y replanteo para acueducto,m,2820.0,233
1.234,1,Localización y replanteo para edificaciones,m2,3903.0,234
1.235,1,Localización y replanteo para vías,m,5461.0,235
1.236,1,Localización y replanteo parques y zonas verdes,m2,1466.0,236
1.237,1,Malla de seguridad plástica naranja,m2,4186.0,237
1.238,1,Mobiliario y equipo de oficina,Glb,8950257.0,238
1.239,1,"Perforación vertical Ø= 2"" en losa de concreto",m,715591.0,239
1.240,1,"Perforación vertical Ø= 3"" en losa de concreto",m,886256.0,240
1.241,1,"Perforación vertical Ø= 4"" en losa de concreto",m,1036515.0,241
1.242,1,Picar o abujardar muro interior,m2,15084.0,242
1.243,1,Picar pañete (revoque) de muro interior,m2,9939.0,243
1.244,1,Picar pañete (revoque) de techo,m2,14485.0,244
1.245,1,Poda y tala de árbol h= 6.0-9.0 m,Un,542379.0,245
1.246,1,Protección de piso con cartón corrugado 3 capas,m2,19125.0,246
1.247,1,Protección de piso con lámina de cartonplast,m2,34588.0,247
1.248,1,Puente peatonal provisional en madera a= 1.40 m,m,59670.0,248
1.249,1,"Red provisional de agua en tubería pvc Ø= 1/2""",m,19955.0,249
1.250,1,Red provisional eléctrica,m,50521.0,250
1.251,1,"Red provisional sanitaria en tubería pvc Ø= 4""",m,57777.0,251
1.252,1,Red provisional telefónica,m,4162.0,252
1.253,1,Regata en piso para tubería (incl. mortero de resane),m,42794.0,253
1.254,1,Remoción de cal en muros y limpieza,m2,5166.0,254
1.255,1,Remoción de especies vegetales,Un,151799.0,255
1.256,1,Retiro transformador 10 a 75 kVA,Un,129499.0,256
1.257,1,Señal vertical de tráfico Ø= 60 cm en lámina galv.,Un,333550.0,257
1.258,1,Trazado y replanteo de muros,m2,3232.0,258
1.259,1,Valla informativa instalada,m2,402721.0,259
2.01,2,Barreno dren inclinado manual en tierra Ø<= 10 cm,m,24507.0,260
2.02,2,Barreno dren inclinado manual en tierra Ø<= 15 cm,m,28388.0,261
2.03,2,Cargue manual y retiro de tierra,m3,59315.0,262
2.04,2,Cargue mecánico y retiro de tierra,m3,57273.0,263
2.05,2,Conformación compactada de subrasante CBR= 95 %,m2,7461.0,264
2.06,2,Conformación de botadero o escombrera,m3,5423.0,265
2.07,2,Entibado discontinuo en madera,m2,22517.0,266
2.08,2,Entibado continuo en madera,m2,35746.0,267
2.09,2,Excavación común bajo agua para pila/caisson h= 0-2 m,m3,86303.0,268
2.10,2,Excavación común bajo agua para pila/caisson h= 2-4 m,m3,170986.0,269
2.11,2,Excavación común bajo agua para pila/caisson h= 4-6 m,m3,254981.0,270
2.12,2,Excavación común bajo agua para pila/caisson h= 6-8 m,m3,344609.0,271
2.13,2,Excavación común bajo agua para pila/caisson h= 8-10 m,m3,430016.0,272
2.14,2,Excavación común bajo agua para pila/caisson h= 12 m,m3,515413.0,273
2.15,2,Excavación común para pila/caisson h= 0-2 m,m3,48650.0,274
2.16,2,Excavación común para pila/caisson h= 2-4 m,m3,92597.0,275
2.17,2,Excavación común para pila/caisson h= 4-6 m,m3,140810.0,276
2.18,2,Excavación común para pila/caisson h= 6-8 m,m3,187015.0,277
2.19,2,Excavación común para pila/caisson h= 8-10 m,m3,233015.0,278
2.20,2,Excavación común para pila/caisson h= 12 m,m3,279021.0,279
2.21,2,Excavación común pilote Ø= 20 cm (barrenado manual),m,49874.0,280
2.22,2,Excavación común pilote Ø= 25 cm (barrenado mecánico),m,77210.0,281
2.23,2,Excavación común pilote Ø= 30 cm (barrenado mecánico),m,83446.0,282
2.24,2,Excavación común pilote Ø= 35 cm (barrenado mecánico),m,89780.0,283
2.25,2,Excavación común pilote Ø= 40 cm (barrenado mecánico),m,107688.0,284
2.26,2,Excavación común pilote Ø= 50 cm (barrenado mecánico),m,125630.0,285
2.27,2,Excavación común pilote Ø= 60 cm (barrenado mecánico),m,147875.0,286
2.28,2,Excavación común pilote Ø= 80 cm (barrenado mecánico),m,251261.0,287
2.29,2,Excavación común pilote Ø= 100 cm (barrenado mecánico),m,300706.0,288
2.30,2,Excavación conformación de talud en conglomerado,m3,76991.0,289
2.31,2,Excavación conformación de talud en roca,m3,268931.0,290
2.32,2,Excavación conformación de talud en tierra,m3,62208.0,291
2.33,2,Excavación en conglomerado bajo agua h= 0-2 m,m3,112604.0,292
2.34,2,Excavación en conglomerado bajo agua h= 2-4 m,m3,169576.0,293
2.35,2,Excavación en conglomerado bajo agua h> 4 m,m3,212066.0,294
2.36,2,Excavación en conglomerado seco h= 0-2 m,m3,56726.0,295
2.37,2,Excavación en conglomerado seco h= 2-4 m,m3,91477.0,296
2.38,2,Excavación en conglomerado seco h> 4 m,m3,128758.0,297
2.39,2,Excavación en roca,m3,129422.0,298
2.40,2,Excavación en roca bajo agua para pila/caisson h=0-2 m,m3,239085.0,299
2.41,2,Excavación en roca bajo agua para pila/caisson h=2-4 m,m3,423480.0,300
2.42,2,Excavación en roca bajo agua para pila/caisson h=4-6 m,m3,608207.0,301
2.43,2,Excavación en roca bajo agua para pila/caisson h=6-8 m,m3,798896.0,302
2.44,2,Excavación en roca bajo agua para pila/caisson h=8-10m,m3,985115.0,303
2.45,2,Excavación en roca bajo agua para pila/caisson h=12 m,m3,1171324.0,304
2.46,2,Excavación en roca para pila/caisson h= 0-2 m,m3,119223.0,305
2.47,2,Excavación en roca para pila/caisson h= 2-4 m,m3,185389.0,306
2.48,2,Excavación en roca para pila/caisson h= 4-6 m,m3,251063.0,307
2.49,2,Excavación en roca para pila/caisson h= 6-8 m,m3,317116.0,308
2.50,2,Excavación en roca para pila/caisson h= 8-10 m,m3,382885.0,309
2.51,2,Excavación en roca para pila/caisson h= 12 m,m3,448654.0,310
2.52,2,Excavación en tierra bajo agua h= 0-2 m,m3,85237.0,311
2.53,2,Excavación en tierra bajo agua h= 2-4 m,m3,142177.0,312
2.54,2,Excavación en tierra bajo agua h> 4 m,m3,183236.0,313
2.55,2,Excavación en tierra seca h= 0-2 m,m3,45113.0,314
2.56,2,Excavación en tierra seca h= 2-4 m,m3,80884.0,315
2.57,2,Excavación en tierra seca h> 4 m,m3,128758.0,316
2.58,2,Excavación en tierra seca h= 0-2 m (incluye entibado discontinuo en madera).,m3,49613.0,317
2.59,2,Excavación mecánica y retiro de tierra,m3,43505.0,318
2.60,2,Explanación y extendida de tierra,m3,13399.0,319
2.61,2,Explanación y retiro de tierra,m3,52165.0,320
2.62,2,Lleno compactado con afirmado,m3,154601.0,321
2.63,2,Lleno compactado con arenilla,m3,124897.0,322
2.64,2,Lleno compactado con material del sitio,m3,40581.0,323
2.65,2,Lleno compactado con material filtrante,m3,131616.0,324
2.66,2,Lleno compactado con material transportado,m3,130758.0,325
2.67,2,Lleno compactado con recebo común,m3,154601.0,326
2.68,2,Lleno compactado con roca muerta,m3,78776.0,327
2.69,2,Lleno mecánico compactado con material del sitio,m3,21249.0,328
2.70,2,Lleno mecánico compactado con material transportado,m3,126369.0,329
2.71,2,Nivelación terreno con material del sitio,m2,6501.0,330
2.72,2,Protección superficie con plástico negro,m2,2970.0,331
2.73,2,Relleno en arena,m3,142914.0,332
2.74,2,"Relleno en triturado de 3/4""",m3,149629.0,333
2.75,2,Remoción manual de derrumbes (sin retiro),m3,15618.0,334
2.76,2,Remoción mecánica de derrumbes (sin retiro),m3,15504.0,335
2.77,2,Restitución con afirmado y cemento 5% peso,m3,251889.0,336
2.78,2,Restitución con afirmado y cemento 10% peso,m3,305349.0,337
2.79,2,Terraplén con material del sitio,m3,11166.0,338
2.80,2,Terraplén con material transportado,m3,87505.0,339
2.81,2,Trincho en esterilla,m,35124.0,340
2.82,2,Trincho en guadua,m,40768.0,341
3.01,3,Acero de presfuerzo,Kg,60272.0,342
3.02,3,Anclaje para pantalla en tierra Ø<= 15 cm y grouting,m,65012.0,343
3.03,3,Anillo pila/caisson concreto 20.7 MPa Ø= 1.00 m y ref.,m,330752.0,344
3.04,3,Anillo pila/caisson concreto 20.7 MPa Ø= 1.20 m y ref.,m,386526.0,345
3.05,3,Anillo pila/caisson concreto 20.7 MPa Ø= 1.40 m y ref.,m,442461.0,346
3.06,3,Anillo pila/caisson concreto 20.7 MPa Ø= 1.60 m y ref.,m,497659.0,347
3.07,3,Anillo pila/caisson concreto 20.7 MPa Ø= 1.80 m y ref.,m,552938.0,348
3.08,3,Anillo pila/caisson concreto 20.7 MPa Ø= 2.00 m y ref.,m,609291.0,349
3.09,3,Anillo pila/caisson concreto 20.7 MPa Ø= 2.20 m y ref.,m,664495.0,350
3.10,3,Anillo pila/caisson concreto 20.7 MPa Ø= 2.40 m y ref.,m,719677.0,351
3.11,3,Muro de contención aligerado en bloque de 20 cm,m2,601535.0,352
3.12,3,Muro de contención en concreto de 20.7 MPa,m3,1200391.0,353
3.13,3,Muro de contención en concreto de 24.2 MPa,m3,1237125.0,354
3.14,3,Muro de contención en concreto de 27.6 MPa,m3,1265775.0,355
3.15,3,Muro en concreto ciclópeo de 20.7 MPa,m3,1155361.0,356
3.16,3,Pedestal en concreto de 20.7 MPa,m3,1040234.0,357
3.17,3,Pedestal en concreto de 24.2 MPa,m3,1076968.0,358
3.18,3,Pedestal en concreto de 27.6 MPa,m3,1105617.0,359
3.19,3,Pila/ Pilote/ Caisson en concreto de 20.7 MPa,m3,638626.0,360
3.20,3,Pila/ Pilote/ Caisson en concreto de 24.2 MPa,m3,659642.0,361
3.21,3,Pila/ Pilote/ Caisson en concreto de 27.6 MPa,m3,681394.0,362
3.22,3,Pilote en concreto de 20.7 MPa Ø= 20 cm,m,40470.0,363
3.23,3,Pilote en concreto de 20.7 MPa Ø= 25 cm,m,65930.0,364
3.24,3,Pilote en concreto de 20.7 MPa Ø= 30 cm,m,87666.0,365
3.25,3,Pilote en concreto de 20.7 MPa Ø= 35 cm,m,112748.0,366
3.26,3,Pilote en concreto de 20.7 MPa Ø= 40 cm,m,134264.0,367
3.27,3,Pilote en concreto de 20.7 MPa Ø= 50 cm,m,189946.0,368
3.28,3,Pilote en concreto de 20.7 MPa Ø= 60 cm,m,273482.0,369
3.29,3,Pilote en concreto de 20.7 MPa Ø= 80 cm,m,486509.0,370
3.30,3,Pilote en concreto de 20.7 MPa Ø= 100 cm,m,805845.0,371
3.31,3,Pilote en concreto de 24.2 MPa Ø= 20 cm,m,41576.0,372
3.32,3,Pilote en concreto de 24.2 MPa Ø= 25 cm,m,67749.0,373
3.33,3,Pilote en concreto de 24.2 MPa Ø= 30 cm,m,90270.0,374
3.34,3,Pilote en concreto de 24.2 MPa Ø= 35 cm,m,116279.0,375
3.35,3,Pilote en concreto de 24.2 MPa Ø= 40 cm,m,138865.0,376
3.36,3,Pilote en concreto de 24.2 MPa Ø= 50 cm,m,197150.0,377
3.37,3,Pilote en concreto de 24.2 MPa Ø= 60 cm,m,283754.0,378
3.38,3,Pilote en concreto de 24.2 MPa Ø= 80 cm,m,504876.0,379
3.39,3,Pilote en concreto de 24.2 MPa Ø= 100 cm,m,834697.0,380
3.40,3,Pilote en concreto de 27.6 MPa Ø= 20 cm,m,42438.0,381
3.41,3,Pilote en concreto de 27.6 MPa Ø= 25 cm,m,69168.0,382
3.42,3,Pilote en concreto de 27.6 MPa Ø= 30 cm,m,92300.0,383
3.43,3,Pilote en concreto de 27.6 MPa Ø= 35 cm,m,119033.0,384
3.44,3,Pilote en concreto de 27.6 MPa Ø= 40 cm,m,142453.0,385
3.45,3,Pilote en concreto de 27.6 MPa Ø= 50 cm,m,202769.0,386
3.46,3,Pilote en concreto de 27.6 MPa Ø= 60 cm,m,291764.0,387
3.47,3,Pilote en concreto de 27.6 MPa Ø= 80 cm,m,519201.0,388
3.48,3,Pilote en concreto de 27.6 MPa Ø= 100 cm,m,857199.0,389
3.49,3,Placa de contrapiso en concreto de 20.7 MPa con dramix,m3,1247943.0,390
3.50,3,"Placa de contrapiso en concreto de 20.7 MPa, e= 0.07 m",m2,68925.0,391
3.51,3,"Placa de contrapiso en concreto de 20.7 MPa, e= 0.10 m",m2,99864.0,392
